463,Wales - Premier League,AUSTRALIA NEW SOUTH WALES PREMIER LEAGUE,100
39,Australia - Victoria Premier League 1,AUSTRALIA VICTORIA PREMIER LEAGUE 1 U23,100
285,Korea Republic - K3 League,KOREA K3 LEAGUE,100
29,Australia - New South Wales League 1,AUSTRALIA FOOTBALL NEW SOUTH WALES LEAGUE 2,97
34,Australia - A-League Women,SOUTH AUSTRALIA WOMEN PREMIER LEAGUE,96
31,Australia - A League,AUSTRALIA VICTORIA NATIONAL PREMIER LEAGUE,94
40,Australia - NPL Queensland,AUSTRALIA FOOTBALL QUEENSLAND PRO SERIES,91
32,Australia - NPL South Australia Women,SOUTH AUSTRALIA WOMEN PREMIER LEAGUE RESERVE,91
36,Australia - NPL Victoria,AUSTRALIA VICTORIA STATE LEAGUE DIVISION 1 RESERVE,90
27,Australia - NPL South Australia,SOUTH AUSTRALIA NATIONAL PREMIER LEAGUE,88
457,Club Friendlies,CLUB FRIENDLY,86
456,Australia - South Australia State League 1,AUSTRALIA VICTORIA STATE LEAGUE DIVISION 2 RESERVE,85
257,Iraq - Premier League,Saba Soccer PinGoal Max - Premier League,85
275,Japan - Football League,RUSSIA YOUTH FOOTBALL LEAGUE U19,83
109,China - Super League,Saba Soccer PinGoal - Super League,80
256,Indonesia - Liga 1,ASEAN UNIVERSITY GAMES 2024 (IN INDONESIA) - MEN FUTSAL,72
416,USA - Major League Soccer,Saba Soccer PinGoal - Virtual League,72
586,International - Friendlies,SABA INTERNATIONAL FRIENDLY Virtual PES 21 - 20 Mins Play,70
374,Serbia - Super Liga,Saba Soccer PinGoal,61
417,USA - National Womens Soccer League,Saba Soccer PinGoal - World Cup,61
