634,Malaysia - FA Cup,Malaysia FA Cup,100
375,Sweden - 2nd Div. Sodra Svealand,Sweden 2nd Div,100
34,Australia - A-League Women,South Australia Women National Premier League,96
456,Australia - South Australia State League 1,Australia Victoria State League 1,89
35,Australia - NPL Western Australia,Western Australia Women National Premier League,89
586,International - Friendlies,International Friendly U21,84
158,England - National League,Nigeria National League Playoff,83
594,Norway - U19 Cup,Norway Interkrets B U19,83
275,Japan - Football League,Russia Youth Football League U19,83
402,UAE - U21 League,Sweden League Cup Elite U21,83
49,Andorra - Premier Division,English Southern Premier Division Central Playoff,80
619,International - Maurice Revello Youth Tournament,International Youth Football Tournament (in Moldova),79
23,AFC - U23 Cup,AFC Women U17 Asian Cup 2024 (in Indonesia),78
523,Albania - Cup,Albania Superliga,78
271,Jordan - Cup,Iran Cup,78
538,Romania - Cup,Romania Liga 3 Playoff,78
572,Canada - Championship,ASEAN U16 Championship (in Indonesia),77
574,Kosovo - Cup,Kosovo First League Playoff,75
343,Russia - Cup,Russia Second League Division A,75
630,International - Baltic Cup,International Friendly U23,70
512,CAF - Confederation Cup,Oman Federation Cup,70
616,Azerbaijan - Cup,Kazakhstan Cup,64
400,Tanzania - Premier League,Kazakhstan First League,61
